id,text,label,confidence,source,suggested_label,corrected_label
c4722ace-33ba-446b-9178-78633c16bcc4,Minimum frequency to build up tolerance to seasickness? sailing,safety,0.370106,stackexchange_sailing,safety,safety
c16b5202-f5d8-4b38-8b5e-1ce4716f4b1a,How many boats have been found encased in ice but still accessible? boats cold-weather sailing sea ice,weather,0.256027,stackexchange_sailing,weather,weather
252f75de-b0cd-4e85-9221-0549f72373b5,Will a Sunfish mast and rigging fit any other dinghy models? sailing,equipment,0.694023,stackexchange_sailing,equipment,equipment
83bcf4dc-1596-40a3-b028-4acc20163dfa,Lake Ontario boating restrictions near Darlington nuclear plant? sailing canada lakes,navigation,0.450984,stackexchange_sailing,navigation,navigation
18bd26c7-057b-48b2-b326-5ea7281ec793,Locations of origin for castaway on Papua New Guinea survival sailing sea weather,weather,0.647652,stackexchange_sailing,weather,weather
2a817d0b-8187-4a57-8ff7-757c3e11b17a,What do they call a rope for holding something in the context of the navy? sailing terminology,equipment,0.425082,stackexchange_sailing,equipment,equipment
b9d13a25-4bfe-498c-b101-e628327bd4bf,What is the best way to plan an inland sailing trip? sailing water-sports,other_or_offtopic,0.49689,stackexchange_sailing,other_or_offtopic,other_or_offtopic
36fcaa73-eb07-4cc4-8e86-a815b10d91ea,Sailing an age-of-sail sloop with 2-man crew sailing,equipment,0.353364,stackexchange_sailing,equipment,equipment
54f3c82c-dfbb-4959-8aa6-2577274ec475,Do square-riggers also use 'aircraft-wing-style' propulsion? sailing,equipment,0.539591,stackexchange_sailing,equipment,equipment
b55e2e37-36ef-442d-bc52-3f0cf603a7a8,What do you do if you discover a leak in a sail boat? sailing,safety,0.307129,stackexchange_sailing,safety,safety
85042d29-4f87-4f4a-9b0d-1b4a0647f67c,How should I check that the anchor is secure when I anchor a small yacht off unfamiliar land? boats sea sailing boating-anchors,equipment,0.372853,stackexchange_sailing,equipment,equipment
fe538254-0476-4d24-8e3c-3eaf2ef1f023,How to manage the sail of a sunfish when paddling? sailing paddling,safety,0.315895,stackexchange_sailing,safety,safety
